address,Date,price,event
74 Park Ave,04/09/2019,"$2,150,000",Sold
74 Park Ave,01/31/2019,"$2,195,000",Posting Removed
74 Park Ave,01/23/2019,"$2,195,000",Listed For Sale
74 Park Ave,06/28/2012,"$1,875,000",Sold
74 Park Ave,09/16/2010,"$1,700,000",Sold
125 White Plains Rd,04/03/2019,"$2,495,000",Posting Removed
125 White Plains Rd,04/03/2019,"$2,335,000",Sold
125 White Plains Rd,02/08/2019,"$2,495,000",Pending
125 White Plains Rd,09/27/2018,"$2,495,000",Listed For Sale
125 White Plains Rd,07/19/2016,"$2,575,000",Posting Removed
125 White Plains Rd,01/20/2016,"$2,575,000",Listed For Sale
125 White Plains Rd,11/12/2015,"$2,625,000",Posting Removed
125 White Plains Rd,09/25/2015,"$2,625,000",Listed For Sale
125 White Plains Rd,07/30/2015,"$2,625,000",Listed For Sale
125 White Plains Rd,05/12/2015,"$2,625,000",Listed For Sale
125 White Plains Rd,12/14/2007,"$2,550,000",Sold
125 White Plains Rd,08/11/2007,"$2,550,000",Sold
10 Dewitt Ave,02/14/2019,"$810,000",Sold
10 Dewitt Ave,12/28/2018,"$799,000",Posting Removed
10 Dewitt Ave,12/11/2018,"$799,000",Listed For Sale
10 Dewitt Ave,05/09/2011,"$650,000",Sold
10 Dewitt Ave,03/30/2011,"$699,000",Posting Removed
10 Dewitt Ave,12/17/2010,"$699,000",Price Change
10 Dewitt Ave,09/15/2010,"$705,000",Price Change
10 Dewitt Ave,07/23/2010,"$749,000",Listed For Sale
10 Dewitt Ave,02/24/2003,"$587,000",Sold
11 Lee Pl,01/28/2019,"$1,500,000",Sold
11 Lee Pl,10/22/2018,"$1,665,000",Posting Removed
11 Lee Pl,09/05/2018,"$1,665,000",Listed For Sale
11 Lee Pl,08/03/1998,"$700,000",Sold
11 Lee Pl,09/20/1996,"$475,000",Sold
1 Allen Pl,01/16/2019,"$719,000",Posting Removed
1 Allen Pl,01/16/2019,"$685,000",Sold
1 Allen Pl,12/05/2018,"$719,000",Pending
1 Allen Pl,09/12/2018,"$719,000",Price Change
1 Allen Pl,07/31/2018,"$749,000",Posting Removed
1 Allen Pl,07/24/2018,"$749,000",Listed For Sale
75 Summit Ave,01/15/2019,"$2,625,000",Sold
75 Summit Ave,11/21/2018,"$2,650,000",Posting Removed
75 Summit Ave,11/14/2018,"$2,650,000",Listed For Sale
75 Summit Ave,06/30/2011,"$2,600,000",Sold
29 Village Ln,12/21/2018,"$2,900,000",Sold
29 Village Ln,11/21/2018,"$2,950,000",Posting Removed
29 Village Ln,10/11/2018,"$2,950,000",Listed For Sale
29 Village Ln,05/31/2005,"$2,525,000",Sold
56 Summit Ave,12/03/2018,"$1,800,000",Sold
56 Summit Ave,10/22/2018,"$1,999,900",Posting Removed
56 Summit Ave,05/16/2018,"$1,999,900",Price Change
56 Summit Ave,04/26/2018,"$2,125,000",Price Change
56 Summit Ave,02/26/2018,"$2,195,000",Price Change
56 Summit Ave,01/31/2018,"$2,350,000",Listed For Sale
56 Summit Ave,07/24/2013,"$2,100,000",Sold
56 Summit Ave,07/01/2013,"$2,295,000",Posting Removed
56 Summit Ave,04/14/2013,"$2,295,000",Listed For Sale
56 Summit Ave,03/09/2013,"$2,295,000",Posting Removed
56 Summit Ave,02/17/2013,"$2,295,000",Listed For Sale
56 Summit Ave,06/08/2012,"$2,195,000",Posting Removed
56 Summit Ave,05/01/2012,"$2,195,000",Listed For Sale
56 Summit Ave,10/10/2001,"$1,800,000",Sold
105 Birch Brook Rd,11/01/2018,"$550,000",Sold
10 South Rd,10/30/2018,"$360,000",Sold
7 Hawthorne Rd,10/26/2018,"$950,000",Sold
7 Hawthorne Rd,06/04/2013,"$995,000",Sold
44 Ledgewood Rd,10/17/2018,"$950,000",Sold
44 Ledgewood Rd,10/05/2018,"$995,000",Posting Removed
44 Ledgewood Rd,07/27/2018,"$995,000",Pending
44 Ledgewood Rd,07/05/2018,"$995,000",Listed For Sale
55 Alder Ln,10/12/2018,"$150,000",Sold
55 Alder Ln,05/26/2018,"$1,575,000",Posting Removed
55 Alder Ln,04/04/2018,"$1,575,000",Price Change
55 Alder Ln,02/14/2018,"$1,599,000",Price Change
55 Alder Ln,12/12/2017,"$1,699,000",Price Change
55 Alder Ln,09/28/2017,"$1,750,000",Price Change
55 Alder Ln,09/06/2017,"$1,795,000",Price Change
55 Alder Ln,08/23/2017,"$1,850,000",Price Change
55 Alder Ln,08/10/2017,"$2,350,000",Sold
55 Alder Ln,07/10/2017,"$1,895,000",Listed For Sale
55 Alder Ln,04/30/2014,"$1,600,000",Sold
55 Alder Ln,04/12/2014,"$1,495,000",Posting Removed
55 Alder Ln,03/11/2014,"$1,495,000",Listed For Sale
55 Alder Ln,01/29/2014,"$1,495,000",Posting Removed
55 Alder Ln,01/16/2014,"$1,495,000",Listed For Sale
3 Fordal Rd,10/01/2018,"$2,261,768",Sold
3 Fordal Rd,01/04/2001,"$1,300,000",Sold
3 Fordal Rd,12/22/1995,"$655,000",Sold
15 Desmond Ave,09/28/2018,"$487,082",Sold
15 Desmond Ave,06/09/2018,"$539,900",Posting Removed
15 Desmond Ave,06/08/2018,"$539,900",Pending
15 Desmond Ave,04/06/2018,"$539,900",Price Change
15 Desmond Ave,03/05/2018,"$589,900",Listed For Sale
15 Desmond Ave,10/14/2016,"$404,733",Sold
15 Desmond Ave,07/24/2009,"$449,000",Posting Removed
15 Desmond Ave,06/04/2009,"$449,000",Price Change
15 Desmond Ave,05/15/2009,"$479,000",Price Change
15 Desmond Ave,03/13/2009,"$499,000",Price Change
15 Desmond Ave,02/11/2009,"$519,000",Listed For Sale
15 Desmond Ave,12/20/2007,"$480,000",Sold
15 Desmond Ave,10/20/2004,"$387,000",Sold
1388 Midland Ave,09/27/2018,"$593,000",Sold
1388 Midland Ave,10/22/2013,"$475,000",Sold
64 Archer Dr,09/25/2018,"$695,000",Sold
64 Archer Dr,08/23/2018,"$700,000",Posting Removed
64 Archer Dr,07/18/2018,"$700,000",Price Change
64 Archer Dr,06/06/2018,"$720,000",Listed For Sale
64 Archer Dr,01/25/2017,"$615,000",Sold
64 Archer Dr,11/18/2016,"$629,000",Posting Removed
64 Archer Dr,09/27/2016,"$629,000",Price Change
64 Archer Dr,08/24/2016,"$649,000",Listed For Sale
103 Chatfield Rd,09/24/2018,"$725,000",Sold
103 Chatfield Rd,08/05/2018,"$715,000",Posting Removed
103 Chatfield Rd,07/23/2018,"$715,000",Listed For Sale
103 Chatfield Rd,01/17/2002,"$515,000",Sold
40 Oriole Ave,09/21/2018,"$2,650,000",Sold
40 Oriole Ave,04/04/2005,"$2,225,000",Sold
