address,region,Date,price,event
1 Dubois Ct,"Sea Cliff, NY 11579",06/07/2019,"$675,000",Sold
1 Dubois Ct,"Sea Cliff, NY 11579",04/25/2019,"$699,000",Posting Removed
1 Dubois Ct,"Sea Cliff, NY 11579",04/02/2019,"$699,000",Price Change
1 Dubois Ct,"Sea Cliff, NY 11579",01/17/2019,"$729,000",Listed For Sale
34 8th Ave,"Sea Cliff, NY 11579",05/10/2019,"$749,000",Posting Removed
34 8th Ave,"Sea Cliff, NY 11579",05/10/2019,"$735,000",Sold
34 8th Ave,"Sea Cliff, NY 11579",04/24/2019,"$749,000",Pending to Active Status
34 8th Ave,"Sea Cliff, NY 11579",02/13/2019,"$749,000",Posting Removed
34 8th Ave,"Sea Cliff, NY 11579",12/18/2018,"$749,000",Price Change
34 8th Ave,"Sea Cliff, NY 11579",12/10/2018,"$769,000",Price Change
34 8th Ave,"Sea Cliff, NY 11579",11/15/2018,"$789,000",Listed For Sale
34 8th Ave,"Sea Cliff, NY 11579",06/12/2015,"$560,000",Sold
34 8th Ave,"Sea Cliff, NY 11579",06/04/2015,"$550,000",Posting Removed
34 8th Ave,"Sea Cliff, NY 11579",05/31/2015,"$560,000",Sold
34 8th Ave,"Sea Cliff, NY 11579",04/27/2015,"$550,000",Pending
34 8th Ave,"Sea Cliff, NY 11579",02/11/2015,"$550,000",Listed For Sale
17 Club Rd,"Sea Cliff, NY 11579",04/09/2019,"$685,000",Sold
17 Club Rd,"Sea Cliff, NY 11579",02/11/2019,"$698,000",Posting Removed
17 Club Rd,"Sea Cliff, NY 11579",01/02/2019,"$698,000",Price Change
17 Club Rd,"Sea Cliff, NY 11579",01/01/2019,"$725,000",Posting Removed
17 Club Rd,"Sea Cliff, NY 11579",05/21/2018,"$725,000",Price Change
17 Club Rd,"Sea Cliff, NY 11579",04/02/2018,"$748,000",Price Change
17 Club Rd,"Sea Cliff, NY 11579",03/30/2018,"$759,000",Posting Removed
17 Club Rd,"Sea Cliff, NY 11579",10/02/2017,"$759,000",Listed For Sale
290 Prospect Ave,"Sea Cliff, NY 11579",04/04/2019,"$3,225,000",Sold
290 Prospect Ave,"Sea Cliff, NY 11579",02/13/2019,"$3,998,000",Posting Removed
290 Prospect Ave,"Sea Cliff, NY 11579",05/01/2018,"$3,998,000",Price Change
290 Prospect Ave,"Sea Cliff, NY 11579",12/29/2017,"$4,198,000",Price Change
290 Prospect Ave,"Sea Cliff, NY 11579",08/07/2017,"$4,398,000",Price Change
290 Prospect Ave,"Sea Cliff, NY 11579",04/19/2017,"$4,598,000",Price Change
290 Prospect Ave,"Sea Cliff, NY 11579",10/03/2016,"$4,988,000",Listed For Sale
371 Carpenter Ave,"Sea Cliff, NY 11579",03/29/2019,"$752,500",Sold
371 Carpenter Ave,"Sea Cliff, NY 11579",01/09/2019,"$799,000",Posting Removed
371 Carpenter Ave,"Sea Cliff, NY 11579",10/11/2018,"$799,000",Listed For Sale
26 Cross St,"Sea Cliff, NY 11579",03/25/2019,"$499,900",Posting Removed
